tested_IPv4,Loc,Org,exit_IP,exit_loc
3.87.87.94,,,18.22.90.204,US
3.105.5.82,,,54.252.210.155,AU
3.105.5.84,,,3.26.34.66,AU
3.210.36.85,US,Amazon.com  Inc.,3.210.36.85,US
5.133.8.249,PL,Artnet Sp. z o.o.,178.255.46.176,PL
5.135.110.142,FR,OVH SAS,5.135.110.134,FR
5.175.43.161,ES,AXARNET COMUNICACIONES  S.L.,5.175.43.161,ES
5.175.43.162,ES,AXARNET COMUNICACIONES  S.L.,5.175.43.162,ES
13.82.131.124,US,MICROSOFT-CORP-MSN-AS-BLOCK,13.82.131.124,US
14.143.94.96,,,14.143.94.96,IN
20.52.22.151,,,20.52.22.151,DE
20.105.204.199,NL,MICROSOFT-CORP-MSN-AS-BLOCK,20.105.204.199,NL
23.27.206.221,US,EGIHosting,23.27.206.221,US
23.27.206.249,,,23.27.206.249,US
23.88.88.104,DE,Hetzner Online GmbH,23.88.88.104,DE
23.106.84.132,,,23.106.84.132,US
23.108.85.197,US,Leaseweb USA  Inc.,23.108.85.197,US
23.228.74.59,,,23.228.74.59,US
23.228.74.60,TR,Level 3 Parent  LLC,23.228.74.60,US
23.237.33.106,,,23.237.33.106,US
23.237.58.50,,,216.151.180.28,US
23.248.168.220,,,128.1.153.157,ID
31.187.70.62,,,31.187.70.62,GB
34.150.133.11,US,Google LLC,34.150.133.11,US
34.150.180.124,US,Google LLC,34.150.180.124,US
35.167.93.200,US,Amazon Technologies Inc.,54.191.115.136,US
35.183.163.195,CA,Amazon.com  Inc.,3.96.152.166,CA
37.152.181.67,,,51.15.52.237,FR
37.152.185.92,IR,Noyan Abr Arvan Co. ( Private Joint Stock),51.15.52.237,FR
38.55.96.168,US,RIPE Network Coordination Centre,38.55.96.168,HK
38.75.136.169,,,38.75.136.169,US
41.76.42.116,MU,Emtel Ltd,102.115.242.173,MU
41.76.42.118,MU,Emtel Ltd,102.115.242.173,MU
43.153.31.207,US,Shenzhen Tencent Computer Systems Company Limited,124.223.39.42,CN
45.35.9.243,US,Psychz Networks,45.35.9.243,US
45.64.22.6,MO,Companhia de Telecomunicacoes de Macau,45.64.22.6,MO
45.64.22.22,,,45.64.22.22,MO
45.64.22.23,,,45.64.22.23,MO
45.64.22.53,MO,Companhia de Telecomunicacoes de Macau,45.64.22.53,MO
45.64.22.56,MO,Companhia de Telecomunicacoes de Macau,45.64.22.56,MO
45.77.236.204,AU,The Constant Company  LLC,45.77.236.204,AU
45.92.126.234,US,DediPath,45.92.126.234,US
45.123.191.103,HK,Tele Asia Limited,45.123.191.103,HK
45.128.72.2,,,45.128.72.2,US
46.166.167.178,LT,UAB Cherry Servers,46.166.167.178,LT
46.246.98.116,SE,GleSYS AB,46.246.98.116,SE
47.254.81.145,US,Alibaba (US) Technology Co.  Ltd.,47.254.81.145,US
49.207.36.81,IN,Atria Convergence Technologies Pvt. Ltd. ,49.207.36.81,IN
50.118.211.9,US,EGIHosting,50.118.211.9,US
51.79.254.182,SG,OVH SAS,51.79.254.182,SG
51.178.161.195,,,51.178.161.195,FR
51.195.140.208,,,51.195.140.208,GB
52.10.78.7,US,Amazon.com  Inc.,54.201.53.217,US
52.23.235.49,,,52.23.235.49,US
52.209.63.185,IE,Amazon.com  Inc.,34.243.215.118,IE
54.179.54.202,,,54.179.54.202,SG
54.194.162.247,IE,Amazon.com  Inc.,54.194.162.247,IE
54.203.85.46,US,Amazon.com  Inc.,35.167.20.250,US
60.249.92.67,,,60.249.92.67,TW
63.142.252.222,US,HostDime.com  Inc.,63.142.252.222,US
69.46.7.74,US,HIVELOCITY  Inc.,69.46.7.74,US
69.245.11.215,,,69.245.11.215,US
70.32.3.0,,,70.32.3.0,US
74.204.181.101,US,M3COM of Virginia  Inc,74.204.181.100,US
77.220.214.135,NL,Zomro B.V.,77.220.214.135,NL
79.124.1.254,,,79.124.1.254,GB
80.64.223.121,DE,Christian Ehrig,150.158.166.222,CN
80.211.55.235,IT,Aruba S.p.A.,80.211.55.235,IT
80.211.131.21,IT,Aruba S.p.A.,80.211.131.21,IT
80.211.184.181,,,80.211.184.181,IT
86.105.54.54,DE,Aruba SAS,2a03:a140:10:a36::1,DE
87.121.251.128,AU,LAUNTEL PTY LTD,87.121.251.128,AU
87.128.18.23,DE,Deutsche Telekom AG,87.128.18.23,DE
87.255.132.8,,,87.255.132.8,FR
91.188.208.70,LB,EarthLinks S.A.R.L,91.188.208.70,LB
91.230.213.70,KW,Warba Bank (KSC),91.230.213.100,KW
92.51.188.120,DE,PlusServer GmbH,92.51.188.107,DE
93.94.152.45,RU,DELFIN TELECOM Ltd,93.94.152.45,RU
93.191.168.187,US,ASN block not managed by the RIPE NCC,209.200.185.116,US
94.46.23.22,PT,ALMOUROLTEC SERVICOS DE INFORMATICA E INTERNET LDA,94.46.23.22,PT
95.143.193.153,SE,Internetport Sweden AB,95.143.193.153,SE
95.177.171.7,SA,ARABIAN INTERNET & COMMUNICATIONS SERVICES CO.LTD,95.177.171.7,SA
98.158.193.72,US,Internet Brands Inc.,98.158.192.249,US
102.39.182.60,,,102.39.182.60,ZA
103.10.199.51,,,103.10.199.51,HK
103.68.107.8,MN,Ultranet Zone LLC,103.68.107.8,MN
103.105.48.175,,,103.105.48.175,GB
103.137.63.2,TW,rixCloud,122.118.152.190,TW
103.137.63.3,TW,rixCloud,61.224.126.125,TW
103.145.72.28,HK,Beijing Baidu Netcom Science and Technology Co.  Ltd.,103.145.72.28,HK
104.223.102.254,,,104.223.102.254,US
104.250.112.132,US,DigitalFyre Internet Solutions  LLC.,104.250.112.132,US
106.227.19.13,CN,China Telecom,106.227.19.13,CN
108.170.53.157,US,SECURED SERVERS LLC,108.170.53.157,US
109.174.122.41,RU,MTS PJSC,109.174.122.41,RU
109.185.236.240,MD,Moldtelecom SA,109.185.236.240,MD
109.234.36.6,NL,Hosting technology LTD,109.234.36.6,NL
111.51.67.188,,,111.51.67.188,CN
116.117.134.135,CN,CHINA UNICOM China169 Backbone,116.117.134.135,CN
116.203.224.50,DE,Hetzner Online GmbH,116.203.224.50,DE
117.59.82.15,,,36.152.49.220,CN
117.59.82.16,CN,ChongQing Broadcast & TV Transfer Network Co. Ltd,36.152.49.233,CN
117.59.82.207,CN,ChongQing Broadcast & TV Transfer Network Co. Ltd,36.152.49.249,CN
117.59.82.209,,,36.152.49.169,CN
117.59.82.211,CN,ChongQing Broadcast & TV Transfer Network Co. Ltd,36.152.49.215,CN
117.59.82.212,CN,ChongQing Broadcast & TV Transfer Network Co. Ltd,36.152.49.244,CN
117.59.82.213,,,36.152.49.161,CN
122.2.165.186,,,122.2.198.74,PH
122.2.198.74,PH,Philippine Long Distance Telephone Co.,122.2.198.74,PH
122.2.198.77,PH,Philippine Long Distance Telephone Co.,122.2.198.74,PH
122.2.198.78,PH,Philippine Long Distance Telephone Co.,122.2.198.74,PH
122.2.198.117,PH,Philippine Long Distance Telephone Co.,122.2.198.74,PH
123.58.212.234,HK,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,123.58.212.234,HK
125.22.61.88,,,125.99.72.154,IN
125.22.61.89,,,125.99.72.154,IN
125.22.61.90,IN,Bharti Airtel Limited,125.99.72.154,IN
125.22.61.91,,,125.99.72.154,IN
125.22.61.92,,,125.99.72.154,IN
125.22.61.93,,,125.99.72.154,IN
125.22.61.94,,,125.99.72.154,IN
